id_alumne,PIP,PED,PDAA,AT,SOC,LCAT,LESP,DIDA,LENG,INCL,SEOE,DIDC,DIDM,CINA,PLST,EDFI,PRAC,DGEO
2708,8.0,8.5,7.7,7.8,7.5,4.0,6.6,7.2,6.4,8.0,8.0,8.5,7.4,6.9,7.9,7.9,9.3,8.2
2709,8.6,8.2,7.7,7.6,8.0,7.5,7.2,8.7,8.1,8.0,9.0,8.0,8.1,7.1,8.0,7.7,8.0,8.3
2710,8.4,7.2,8.3,7.8,9.5,7.0,7.5,9.0,8.1,8.8,9.0,9.0,8.1,8.2,8.5,8.8,8.5,9.0
2711,6.0,5.0,7.7,7.4,6.0,4.0,6.5,8.2,7.6,6.0,7.1,6.5,6.4,6.2,7.5,7.6,7.7,6.3
2713,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,,,,,,,,,
2716,7.2,7.5,7.7,6.7,7.0,4.0,7.0,8.7,7.3,6.0,8.0,7.5,5.7,6.6,7.0,7.7,6.8,6.5
2718,7.0,7.7,7.0,7.0,6.1,5.0,6.8,7.5,6.2,7.1,8.2,5.5,5.5,6.8,7.5,8.1,7.8,5.9
2721,4.0,8.0,0.0,0.0,8.0,5.0,4.0,4.0,0.0,,,,,,,,,
2723,7.5,8.5,7.0,5.5,5.0,7.2,6.0,7.0,7.3,7.1,6.5,6.5,7.1,0.0,10.0,7.3,9.0,0.0
2724,8.2,8.0,8.0,8.2,7.0,4.5,6.5,8.7,0.0,7.5,6.8,7.5,6.3,6.6,9.0,8.5,7.8,6.0
2725,6.3,6.2,6.0,6.1,7.1,5.0,4.0,7.0,6.3,6.0,8.5,5.5,5.7,6.1,7.6,7.8,8.7,6.2
2726,9.5,8.5,8.0,9.0,8.6,3.3,6.2,9.4,7.9,8.3,8.8,8.6,8.5,8.7,8.5,8.8,9.9,9.1
2731,7.2,7.8,4.0,6.4,5.5,5.0,4.0,6.8,7.1,5.9,7.7,6.3,0.0,3.9,8.3,7.0,9.4,8.3
2733,5.5,8.5,5.0,5.8,8.0,0.0,4.0,7.4,0.0,0.0,7.1,8.0,6.6,5.3,6.2,7.4,8.6,0.0
2736,9.5,9.0,9.0,9.0,9.0,7.8,9.2,9.8,9.4,8.5,10.0,8.1,9.3,9.5,9.0,8.8,8.0,10.0
2737,5.8,8.2,5.2,7.1,7.7,0.0,4.0,8.4,0.0,4.0,6.0,6.0,5.3,4.1,5.8,7.8,7.2,6.3
2738,5.9,7.5,9.0,7.7,8.0,0.0,4.0,7.0,4.0,7.3,7.5,8.5,5.8,6.4,7.5,5.0,6.1,7.4
2741,8.3,8.0,8.7,8.4,5.0,9.0,8.5,8.8,9.2,9.0,8.5,9.3,7.7,7.9,8.5,7.0,10.0,8.2
2745,9.0,8.0,9.4,8.0,7.6,5.2,7.9,9.3,8.0,8.5,8.5,9.0,8.1,7.1,8.5,8.3,8.0,9.2
2747,9.5,10.0,9.5,9.0,8.1,6.0,7.4,9.4,9.0,9.5,9.0,8.7,8.1,8.8,7.3,10.0,9.0,9.0
2748,7.6,7.5,8.0,7.5,7.0,6.5,7.8,7.3,7.8,7.4,6.7,7.5,8.0,8.3,6.7,9.2,7.7,7.0
