id_alumne,TTC,CP,FDD,DRO,PIC,EC,SDL,FDPTD,HD,DCP,OTE,PD,DOC,DIC,DFT,FDA,DPC,IDCE,DR,PST,CAA,DEM,DTS,DPP,DS,BPU
6096,7.0,7.4,5.6,6.0,4.0,5.3,5.3,6.6,5.0,7.5,4.1,4.0,5.0,8.0,7.0,5.5,7.0,8.0,5.7,5.0,7.0,5.5,4.3,6.0,6.0,6.2
6099,7.0,5.1,5.5,5.0,5.3,,6.0,5.5,6.8,5.7,6.1,2.1,1.0,3.0,8.0,7.5,6.1,5.0,,,,,7.5,8.0,,
6103,7.2,7.0,5.7,5.6,4.0,5.0,8.0,3.2,5.0,5.0,3.5,8.9,2.6,5.0,5.2,5.5,2.5,5.5,4.4,1.0,7.0,7.0,3.3,4.4,7.2,6.0
6104,5.8,5.1,1.4,0.6,5.4,3.0,0.0,2.0,1.0,0.5,1.0,,,0.0,,,,0.0,,,,,,,,
6108,5.4,7.0,3.5,8.0,7.0,6.0,5.2,9.0,0.9,6.6,,,,,,,,,,,,,,,,
6109,5.3,5.1,5.0,5.0,4.0,5.0,6.0,6.0,5.0,1.5,2.0,5.0,5.0,6.0,2.5,5.5,6.0,6.0,3.7,0.0,6.5,7.0,5.2,7.1,5.6,7.8
6110,5.4,4.6,8.0,4.0,2.0,6.0,5.0,2.8,4.5,0.0,0.0,1.3,4.3,6.5,6.4,5.0,7.0,5.0,,,6.6,7.6,,,6.5,
6112,3.5,5.7,5.5,0.1,1.0,5.7,,2.1,,5.5,,,,,,,,,,,,,,,,
6113,6.7,5.9,8.0,6.0,2.6,7.0,9.5,5.6,6.5,0.5,3.3,6.7,5.4,7.5,6.0,6.0,7.0,8.0,,7.0,,10.0,8.0,5.5,8.0,
6115,5.6,5.3,6.5,0.0,5.0,3.5,5.0,6.2,5.0,4.5,,6.0,5.8,6.5,6.1,4.0,7.0,,,,,,,,,
6116,8.0,5.2,7.7,5.0,7.0,7.8,6.0,5.3,1.0,2.0,3.5,6.6,5.0,7.5,1.0,7.0,1.8,7.0,3.2,6.0,5.4,7.0,5.8,6.3,5.0,5.0
6118,3.4,,6.5,6.5,6.2,,5.0,3.9,3.5,3.0,5.0,5.0,3.7,,6.0,3.0,,6.5,,,6.0,,,,,6.5
6119,5.7,5.5,6.5,7.0,6.0,8.0,7.2,5.4,6.0,6.2,6.6,5.3,4.4,6.8,5.1,7.0,5.0,5.5,5.0,6.1,4.0,8.6,5.4,7.0,8.2,5.1
6120,7.0,6.5,6.0,8.0,4.0,5.0,7.0,3.5,6.0,5.8,5.0,5.8,0.5,7.1,5.0,6.0,4.0,5.0,5.6,6.0,7.0,8.0,2.3,6.3,8.0,6.0
6121,6.1,8.0,5.0,3.0,6.2,8.0,7.0,8.2,8.0,9.0,7.6,7.2,5.0,7.5,7.0,7.5,7.5,8.2,7.2,7.6,8.3,7.9,8.8,7.0,8.5,8.0
6122,,7.5,5.8,5.0,3.9,,8.0,5.0,,4.4,5.5,8.4,2.0,,5.0,,6.6,5.5,,,,,,,,
6123,7.8,6.5,5.2,8.5,7.0,8.0,7.0,7.0,6.2,7.0,6.7,7.0,5.1,5.7,7.6,7.8,7.3,6.0,7.0,6.1,7.5,6.1,9.6,5.8,5.0,7.4
6124,6.4,5.6,7.0,7.5,5.0,7.5,8.0,8.0,5.8,0.5,8.0,8.3,6.3,7.0,8.5,7.4,6.0,7.5,6.0,8.2,7.6,7.2,7.3,7.8,7.6,5.0
6125,5.0,7.0,7.2,5.0,4.9,5.5,3.0,5.0,3.5,4.1,5.4,5.2,2.0,6.5,3.8,7.0,5.0,6.5,,,,,,,,
6127,6.3,6.5,5.0,4.0,5.8,5.0,6.0,5.0,1.0,3.7,1.8,5.5,2.0,5.0,5.2,6.3,5.0,5.2,,,5.2,5.0,,,,
6128,5.4,5.0,7.0,5.5,5.9,5.0,5.7,5.0,2.0,5.0,1.5,6.0,2.5,5.0,6.0,7.0,6.2,6.5,,,7.0,,7.0,,,
6129,7.5,7.9,7.0,7.1,5.5,8.1,7.0,7.4,6.5,7.5,6.3,6.3,5.4,7.5,9.0,5.3,7.7,6.5,6.1,7.0,8.7,6.2,8.0,7.5,6.5,6.0
6133,5.3,5.6,7.0,5.0,6.0,5.0,6.0,5.1,,1.7,5.0,,,0.0,,,,,,,,,,,,
6134,4.9,,6.2,6.2,7.1,,5.7,6.6,6.5,6.9,6.2,7.9,7.4,,9.3,7.0,,8.1,7.0,,7.5,,,,8.0,9.0
6135,5.5,5.0,5.0,3.5,6.0,5.0,5.7,5.3,2.7,5.3,2.7,5.0,5.7,6.0,5.2,5.5,5.7,6.3,6.0,,5.3,5.2,1.1,0.0,2.7,5.0
6136,6.8,7.0,5.1,5.6,7.9,5.0,5.5,7.5,5.9,3.5,4.1,5.0,4.0,7.1,5.8,7.0,7.0,8.5,5.0,,7.4,6.0,,6.0,6.0,5.3
6137,8.0,7.0,9.0,8.5,5.7,7.0,7.5,7.2,7.0,5.7,6.4,5.8,4.5,5.4,7.5,6.0,7.2,7.8,7.4,8.5,9.0,7.4,7.7,7.0,9.5,7.0
6138,6.7,,5.0,5.8,2.6,,3.0,7.2,,5.9,5.5,5.0,5.8,,7.0,3.0,,5.8,4.2,,7.4,,,,,6.0
6139,7.4,6.3,5.3,6.0,5.8,7.5,7.0,7.4,5.2,6.5,5.0,7.1,5.8,6.0,6.6,9.1,8.5,8.0,6.3,7.1,8.7,7.8,5.0,6.0,6.0,7.5
6140,5.8,7.0,7.1,3.0,5.6,5.3,2.1,5.0,0.8,2.6,2.5,0.6,2.4,3.2,,6.4,0.8,,,,,,,,,
6143,7.6,7.0,3.0,6.5,7.7,5.0,,7.3,5.5,9.0,9.0,0.0,0.0,6.0,2.9,6.0,5.0,5.0,,3.2,,,0.0,6.0,,5.8
6145,5.4,,5.5,7.0,7.6,,5.0,7.0,,6.7,5.7,6.6,7.6,,8.2,6.0,,7.1,7.5,,8.0,,,,7.5,9.0
6146,6.3,8.0,6.0,8.0,5.0,5.0,7.5,5.3,6.0,5.2,5.0,6.7,6.5,9.0,5.6,7.3,9.0,8.0,8.1,8.8,9.3,7.5,8.3,8.0,9.0,10.0
6147,6.1,6.0,5.0,6.0,3.5,8.5,5.0,7.0,5.0,2.5,0.0,7.0,7.5,8.2,6.4,6.2,7.0,8.0,,5.6,8.2,6.4,,9.3,7.1,7.8
6148,6.0,5.0,5.5,5.6,5.1,6.5,6.0,3.3,4.0,6.1,5.4,6.7,5.0,6.0,5.7,8.6,5.6,5.5,6.3,7.6,8.6,6.5,6.5,7.0,5.3,5.2
6151,6.2,5.0,5.6,6.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,8.0,3.5,7.0,5.8,5.0,5.5,6.0,4.4,5.0,5.5,6.8,1.1,6.9,7.0,6.0
