id_alumne,ADIP,ELPR,IACD,LIRM,MAVE,ALLI,ARIT,FISI,IACI,PRCI,CDDV,ESAL,GELI,GRAF,MNU1,CIDV,GEPR,HIMA,MMSD,TOPO,ANMA,EQAL,GDCS,MNU2,PROB,ANCO,EQDI,ESTA,MODE,TGGS
333,5.5,3.9,5.7,7.4,3.1,2.5,4.4,6.1,6.2,5.0,,,2.4,2.8,5.3,,4.2,,,,,,,4.1,,,,,,
336,1.6,,3.0,1.1,,,,,5.5,,,,,,,,,,,,,,,,,,,,,
337,5.1,,2.8,4.6,2.3,1.9,5.0,,5.9,,,,,,,,,,,,,,,,,,,,,
338,5.7,,2.8,1.0,,,,,6.1,,,,,,,,,,,,,,,,,,,,,
339,5.0,,5.0,4.2,2.0,0.5,0.3,1.5,1.3,,,,,,,,,,,,,,,,,,,,,
341,4.4,,3.9,2.5,2.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,
343,6.2,5.0,3.8,5.1,1.7,2.8,3.0,2.5,5.5,3.4,,,,,,,,,,,,,,,,,,,,
345,5.1,3.6,4.6,4.5,2.5,0.9,0.5,5.0,5.7,6.5,5.3,0.8,3.6,8.0,4.2,2.7,3.0,7.0,5.6,5.0,,,6.4,5.0,5.1,4.8,,5.7,4.1,
346,5.3,,4.6,3.0,1.1,0.9,,,4.7,,,,,,,,,,,,,,,,,,,,,
347,9.0,8.5,8.7,8.8,9.0,8.7,9.5,8.0,9.9,9.1,7.0,7.0,9.0,10.0,9.0,6.2,5.0,5.6,7.5,8.0,8.0,5.0,5.6,6.5,6.5,7.5,4.5,7.0,7.1,7.6
351,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
353,5.3,5.8,5.0,5.0,5.0,2.5,5.0,5.1,5.0,,5.0,3.6,0.9,4.5,,,,6.1,,,,,,,,,,,,
354,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
355,5.4,5.0,2.4,2.6,0.9,,,,,2.8,,,,,,,,,,,,,,,,,,,,
359,1.1,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
361,5.0,1.1,5.5,4.5,2.3,1.7,2.2,5.0,5.4,0.9,,,,,1.5,,,5.0,,,,,,,,,,,,
362,4.3,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
363,6.2,5.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,6.2,,
371,5.6,6.7,6.5,6.6,6.5,5.6,5.4,5.5,6.5,5.4,4.5,3.7,3.9,5.4,3.8,1.8,4.0,7.1,5.1,4.1,,3.5,,,,,,,,
372,3.5,6.3,3.6,1.5,7.0,2.6,7.1,5.0,6.2,5.0,3.3,5.0,5.8,6.3,2.3,5.6,7.5,5.3,5.5,5.8,,,,5.0,,,,,,
373,,,,,,,0.0,8.5,6.3,,7.0,7.5,,9.3,,,,,,5.8,4.6,,,,,,,,,
378,7.8,6.4,7.3,6.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
380,6.0,5.2,5.6,6.0,3.3,4.1,5.0,8.5,8.6,5.5,5.6,2.4,3.2,7.2,6.0,5.2,7.7,6.2,5.8,6.0,7.4,5.6,6.9,5.9,5.2,6.2,6.6,6.3,6.0,6.2
381,7.0,5.0,5.9,6.2,3.0,5.0,7.1,7.0,7.4,7.0,5.0,1.8,5.2,6.5,4.2,3.7,6.5,7.0,5.7,5.8,6.6,5.0,5.4,5.3,6.8,7.2,3.8,8.1,3.6,6.3
384,6.1,5.0,4.4,5.2,4.2,4.2,1.4,5.5,3.9,6.0,3.9,1.9,2.6,4.7,,,7.5,3.8,3.4,2.5,,,,,,,,,,
388,2.5,,3.6,5.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
389,5.0,3.7,3.4,4.6,5.6,1.0,2.5,5.0,5.0,5.0,5.0,1.2,3.9,5.5,5.0,2.8,2.3,6.0,3.5,5.0,5.5,,3.5,,,4.1,,,,
391,6.0,5.8,5.1,6.8,5.0,5.0,1.0,7.0,6.7,5.3,5.5,2.8,1.3,5.6,5.7,1.5,6.0,5.0,3.3,6.2,3.6,4.3,5.7,8.0,5.5,5.1,,3.5,3.0,4.0
393,5.5,2.9,3.2,3.4,3.0,1.6,2.1,4.0,2.6,4.5,,,,,,,,,,,,,,,,,,,,
395,4.3,3.3,3.3,7.0,2.5,1.5,5.0,3.0,5.0,5.8,3.3,4.4,,5.3,5.1,,,7.5,3.8,,,,,,,,,,,
396,5.0,8.0,5.3,5.3,5.3,5.3,,5.0,5.3,,,,,,4.5,,,,5.3,,,,,,,,,,,
397,5.7,6.3,1.6,6.4,3.0,6.0,6.5,7.5,6.3,7.5,3.9,4.0,5.2,7.3,4.5,4.3,6.2,7.0,6.4,5.5,8.3,7.3,7.4,6.1,8.0,6.5,8.6,6.5,6.7,7.2
399,,6.8,,6.3,6.0,5.5,5.3,,5.0,6.1,5.7,6.0,6.2,6.7,5.2,4.3,6.0,6.0,7.0,6.6,6.6,,6.8,,5.9,6.0,,0.2,4.0,5.1
401,7.6,8.5,7.5,8.8,7.0,,,,,9.2,,,,,,,,,,,,,,,,,,,,
405,,,3.2,8.1,,,,,1.3,,,,,,,,,,,,,,,,,,,,,
406,5.6,2.5,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,8.6,9.3,10.0,,6.5,,5.9,,,,,,,,,,,,,,,,,,,,,
409,9.2,9.9,9.4,9.0,10.0,10.0,9.0,10.0,9.0,8.6,7.6,7.6,7.2,9.0,8.5,7.9,10.0,7.5,8.5,9.0,9.9,7.5,8.5,8.4,9.0,,,,,
415,8.0,5.3,6.1,8.1,6.5,5.0,5.0,6.5,7.1,2.9,5.0,0.8,1.6,6.4,6.5,4.3,3.5,5.6,4.5,1.3,3.4,3.0,7.0,5.3,6.2,5.2,3.1,2.7,2.0,5.0
416,5.4,5.0,5.5,6.3,3.8,5.4,1.7,4.0,7.0,6.1,4.3,5.5,5.6,7.1,3.6,4.4,4.5,5.4,5.5,5.5,6.9,5.1,8.6,6.3,3.6,5.9,5.9,7.4,,5.0
419,7.3,5.0,6.5,5.5,6.5,4.2,5.0,5.4,6.5,6.5,,,,,,,,,,,,,,,,,,,,
423,6.5,6.3,6.6,8.1,3.2,6.3,6.0,8.5,5.0,5.8,6.6,3.8,4.3,8.4,3.4,2.5,4.5,7.1,4.5,5.1,2.7,5.1,5.6,3.6,5.0,4.4,,3.2,3.6,6.3
424,5.0,6.8,2.6,5.9,3.6,6.1,0.7,5.4,2.5,,,,,4.5,,,,2.4,,,,,,,,,,,,
427,6.6,5.4,5.4,5.2,2.2,5.4,5.2,6.0,5.9,6.4,4.4,5.0,6.8,4.9,4.4,6.3,5.8,6.5,6.1,5.1,5.0,5.0,9.3,7.5,5.0,6.3,2.1,5.1,5.8,5.0
431,5.4,3.2,7.6,6.0,6.5,6.0,6.2,7.5,8.6,6.4,6.2,3.3,6.0,7.8,3.9,4.5,7.0,9.0,7.0,6.9,5.8,5.6,6.9,5.0,6.0,5.6,6.8,5.0,5.3,5.3
432,5.4,2.7,6.0,6.0,3.7,3.2,5.2,1.5,5.8,5.7,5.4,5.0,5.5,6.8,5.8,4.3,6.0,8.0,6.3,5.4,6.5,5.0,4.6,5.3,5.6,6.0,5.2,9.0,7.0,5.3
434,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
435,3.8,3.6,3.4,4.5,1.8,,1.0,,1.4,4.0,,,,,,,,,,,,,,,,,,,,
436,5.9,6.0,5.1,8.6,5.0,3.8,6.3,7.5,7.8,7.6,5.5,5.0,6.3,6.6,6.1,5.3,2.0,7.2,7.0,6.7,1.6,6.2,7.2,6.8,7.0,7.6,,6.2,5.1,
437,4.2,2.8,5.1,6.1,2.4,1.0,5.8,5.3,1.8,6.3,5.0,6.0,5.6,6.0,5.5,3.8,3.5,,,5.8,,3.6,,,5.4,,,,,
438,7.7,8.5,9.4,8.4,7.0,8.1,9.0,9.5,9.0,9.2,8.3,7.1,7.1,9.8,6.2,9.3,10.0,9.0,8.4,6.4,7.2,6.1,7.0,7.5,7.6,8.3,7.8,8.1,7.4,8.5
439,5.3,5.6,4.1,6.6,4.5,3.4,5.4,4.0,5.1,6.7,5.8,5.1,5.1,7.9,5.3,2.0,5.0,6.8,5.6,5.0,7.0,3.1,5.3,4.4,5.0,6.0,5.0,2.4,6.5,4.6
440,5.0,4.1,5.0,6.1,2.6,,,2.0,3.2,,,,,,,,,,,,,,,,,,,,,
441,3.0,6.0,2.9,5.5,0.8,5.9,3.3,3.5,5.1,2.9,1.1,2.6,2.5,2.6,,3.9,2.5,0.8,3.8,5.0,,,,,,,,,,
442,5.4,5.0,4.5,5.7,5.5,2.0,5.5,5.5,5.0,2.7,3.7,,,,,,,,4.4,,,,,,,,,,,
443,5.5,6.4,6.5,6.0,5.8,,3.6,4.0,7.8,5.6,,,,,,,,,,,,,,,,,,,,
444,5.7,5.1,2.8,5.0,0.0,5.0,5.0,6.0,3.5,7.7,2.3,2.9,3.8,5.4,5.4,5.0,3.5,5.8,5.0,3.5,7.0,3.5,5.8,5.4,6.4,,,6.8,,
445,5.4,5.9,4.4,5.3,3.3,2.5,1.6,5.0,2.3,4.0,3.2,,5.0,,1.6,,,6.0,,,,,,,,,,,,
446,5.1,0.7,3.1,4.6,2.2,,2.3,5.0,6.5,,,,,,,,,,,,,,,,,,,,,
449,5.6,3.9,6.6,5.7,5.0,4.1,7.0,3.5,6.0,6.5,6.5,5.0,7.1,7.1,7.7,5.3,6.7,8.5,6.6,6.3,6.4,5.8,6.2,6.7,6.1,6.4,5.2,7.8,7.0,7.4
450,7.7,7.5,5.6,8.1,6.0,6.0,7.5,7.0,7.3,8.7,7.4,6.5,6.2,9.2,5.7,5.2,6.5,8.0,7.1,6.5,7.2,5.0,5.4,6.5,7.0,5.5,6.3,5.8,5.0,6.4
453,4.2,,2.4,4.0,1.4,,2.6,,5.1,,,,,,,,,,,,,,,,,,,,,
457,,,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
459,4.3,4.3,2.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,,0.8,1.6,,,,3.5,,,,,,,,,,,,,,,,,,,,,,
462,,,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
463,5.0,5.8,2.1,1.8,6.0,2.6,6.8,5.0,2.1,5.1,1.5,5.0,5.0,7.5,2.3,5.0,3.5,6.0,6.5,6.8,5.6,,,5.0,3.0,6.0,,,,
464,5.1,5.0,3.0,8.2,7.5,5.0,5.6,3.5,3.9,6.6,1.1,5.0,0.2,5.8,2.4,1.5,5.0,2.9,2.5,1.4,,,,2.8,,,,,,
466,7.5,1.3,5.2,5.2,5.0,3.2,3.1,7.0,7.5,3.5,5.8,1.0,0.7,2.9,3.9,4.2,3.5,5.5,5.7,2.7,7.0,5.2,2.9,6.1,5.0,,,5.3,2.2,
467,5.4,4.3,5.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
469,5.2,3.8,1.0,3.2,2.5,0.1,0.8,3.5,1.7,1.2,,,,2.8,,,,,,,,,,,,,,,,
470,3.9,0.8,2.7,3.3,,,,,1.3,,,,,,,,,,,,,,,,,,,,,
471,3.8,,2.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
472,5.0,1.7,4.0,5.8,2.3,4.1,4.3,5.0,6.1,5.3,4.1,3.2,2.0,6.5,5.1,2.7,3.5,7.0,5.7,3.0,3.3,,,,5.6,,,,5.1,
473,5.5,3.2,3.9,4.5,6.0,2.6,3.4,4.0,6.5,5.3,7.1,4.0,3.1,2.8,5.5,3.1,5.0,4.6,5.6,2.1,0.3,,,5.2,3.6,3.1,,0.5,5.1,
474,5.0,,2.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
476,5.0,,1.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
478,6.1,5.7,5.0,9.5,4.5,3.7,3.7,6.0,5.8,6.0,,,,6.2,,0.4,,6.0,,,,,,,,,,,,
480,2.6,,2.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
482,6.0,5.3,1.1,5.5,3.0,,,,3.5,,,,,,,,,,,,,,,,,,,,,
484,3.0,,4.0,0.2,,,3.2,6.0,2.5,,,,,,,,,,,,,,,,,,,,,
486,5.4,5.0,5.9,7.8,2.6,5.0,2.8,4.0,2.4,5.0,0.9,,2.1,1.1,6.2,,,,,,,,,,,,,,,
488,,,,,,3.4,5.0,,6.0,2.8,5.0,3.1,5.2,6.9,3.8,4.3,3.0,9.3,6.2,2.8,5.7,5.5,4.6,7.2,3.8,8.4,5.0,5.4,7.1,
495,5.9,5.0,3.4,5.2,8.0,5.1,6.1,3.0,2.6,5.4,4.4,,5.1,8.8,5.1,2.6,3.0,5.5,4.6,,3.9,,,2.7,,,,,,
496,5.0,1.7,5.8,6.3,0.3,0.5,3.5,1.0,5.7,3.9,4.4,3.9,3.5,4.9,5.0,3.0,3.8,7.2,6.7,1.2,3.5,6.1,6.1,6.3,5.1,,3.9,5.6,6.7,
499,5.0,6.3,5.6,5.2,2.5,2.5,5.0,5.5,6.7,6.2,6.2,4.5,6.2,7.4,5.7,2.2,6.5,7.5,6.2,5.2,5.2,2.4,5.8,6.2,4.0,5.8,2.0,6.0,5.0,6.1
505,5.0,5.0,5.0,5.4,7.5,5.0,0.0,5.5,5.0,5.2,,,2.5,5.4,,,,,,,,,,,,,,,,
509,6.6,3.1,3.3,5.5,2.2,,,3.5,,3.7,,,,,,,,,,,,,,,,,,,,
512,3.9,1.4,4.1,6.9,5.0,2.5,3.0,5.5,6.2,6.0,4.4,4.0,4.1,6.3,4.1,4.2,3.8,7.2,5.5,4.2,5.3,4.1,5.0,3.0,5.0,5.0,0.7,3.4,3.7,3.7
514,2.0,6.7,4.3,5.3,6.0,5.7,0.7,5.5,1.6,5.0,,,,6.5,,,,,,,,,,,,,,,,
523,4.6,6.7,0.8,7.8,6.7,6.0,5.8,6.7,6.0,,,,,5.1,,1.7,,4.8,,,,,,,,,,,,
528,5.8,,0.6,3.9,2.0,,,3.5,2.3,,,,,,,,,,,,,,,,,,,,,
529,5.8,,3.6,,,,,6.0,,2.6,,,,,,,,,,,,,,,,,,,,
532,5.7,,5.1,6.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
533,6.1,5.3,5.0,6.2,5.1,3.0,5.0,5.0,5.8,3.9,3.9,,3.8,5.7,,,,7.0,5.0,,,,,,,,,,,
534,7.0,5.7,5.8,6.6,5.9,3.6,5.0,6.5,5.0,5.1,5.4,5.2,6.4,6.1,2.8,2.7,3.0,6.4,6.1,3.5,6.2,5.0,6.0,5.3,5.4,5.6,3.0,6.8,5.3,5.2
535,2.0,1.8,1.1,4.2,1.5,0.2,,3.0,,,,,,,,,,,,,,,,,,,,,,
540,2.0,1.0,2.5,5.0,3.0,1.9,3.5,5.0,5.6,,,,,,,,,,,,,,,,,,,,,
541,6.6,,1.6,4.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
542,5.1,5.0,2.0,6.4,4.6,3.4,5.7,6.0,2.0,3.6,5.4,5.5,5.2,7.4,3.1,5.0,4.4,6.3,5.0,2.9,1.3,2.8,3.8,4.4,3.7,,,2.6,5.4,
543,5.8,4.3,5.3,6.5,6.5,5.0,4.3,5.5,5.4,5.7,3.3,3.3,6.7,6.3,2.0,2.8,5.0,5.0,5.0,4.2,1.1,5.4,0.5,,3.7,5.0,,,,
545,8.1,6.6,5.9,6.7,7.5,7.7,7.2,8.5,8.0,6.7,6.7,5.6,9.5,9.4,7.5,8.5,10.0,8.0,8.5,6.2,8.9,7.4,8.9,7.8,7.7,8.3,6.9,9.3,6.4,8.5
550,6.7,,,6.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
552,6.0,,4.3,6.2,6.5,1.2,,7.0,,,,,,,,,,,,,,,,,,,,,,
558,6.0,5.3,4.3,6.3,5.5,,1.7,6.5,5.0,5.0,1.9,,,,,,,,,,,,,,,,,,,
562,5.3,5.9,2.3,5.5,3.4,1.3,3.7,2.5,2.0,5.8,4.1,2.0,3.7,7.1,2.3,3.3,4.5,5.1,5.5,2.2,,,,,,,,,,
563,5.7,,3.9,5.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
566,7.2,5.3,3.9,5.5,4.7,5.0,5.7,7.0,6.0,5.0,4.5,5.5,5.0,5.8,5.0,2.8,4.2,6.7,5.1,5.0,1.6,,6.4,3.0,5.3,,,,,
569,5.3,5.2,2.9,5.3,3.4,3.3,5.3,2.0,0.5,3.3,5.0,3.1,4.2,7.4,5.6,2.2,3.0,5.6,5.6,2.0,,,,3.8,7.8,,,2.2,3.6,
570,2.0,5.0,1.0,2.2,0.0,,,,,3.1,,,,,,,,,,,,,,,,,,,,
576,5.0,5.9,5.6,5.5,5.5,5.3,3.3,7.0,5.5,5.4,2.7,1.8,2.8,5.2,6.1,2.5,4.2,6.0,5.4,5.6,4.3,1.7,,6.6,4.5,5.8,2.6,,6.1,
577,5.9,5.0,5.0,5.9,5.0,6.0,6.1,8.0,7.0,5.6,6.5,5.2,5.8,8.1,5.0,4.5,7.3,7.5,6.1,5.7,6.9,5.0,5.4,7.3,6.3,5.0,5.0,6.3,6.0,6.5
578,5.2,5.7,2.8,7.3,3.7,5.1,5.2,5.0,4.0,5.2,5.0,2.4,4.1,6.8,2.4,3.1,6.0,5.5,4.4,3.2,2.6,,,4.4,4.1,,,2.2,5.0,
581,5.7,6.2,3.8,7.0,5.0,5.8,5.4,6.5,6.5,8.2,6.6,5.0,5.8,6.8,6.1,6.3,5.5,7.4,7.3,6.2,6.2,5.3,7.1,,7.6,6.6,6.0,5.5,,5.4
582,6.1,9.0,6.3,6.3,5.9,6.1,7.3,6.0,6.0,5.5,2.9,3.8,5.3,7.2,6.3,1.0,3.3,5.9,5.6,5.0,,,,,,,,,,
583,6.7,6.5,6.4,8.0,6.3,8.0,7.0,7.0,7.5,7.5,7.3,7.4,7.8,8.1,6.7,6.5,8.0,7.7,7.6,7.0,6.9,6.7,6.7,6.7,7.1,4.6,5.9,6.2,5.7,6.4
585,7.4,6.8,7.3,6.9,6.1,7.4,7.7,9.5,8.0,5.9,6.9,7.0,8.1,9.9,7.0,8.0,10.0,7.0,8.1,5.4,8.1,6.5,7.6,6.2,7.5,7.6,7.2,8.0,7.6,6.2
586,4.5,6.4,1.8,5.5,1.0,2.3,2.9,6.5,2.5,7.2,4.3,3.0,1.5,8.1,5.9,3.6,,5.1,6.4,4.1,,,,,,,,,,
589,6.0,5.2,5.1,5.2,5.2,8.0,5.7,5.5,5.0,5.5,7.0,3.2,5.5,6.5,6.0,5.2,7.5,7.4,5.7,3.7,5.0,6.7,9.0,7.5,6.0,5.8,10.0,6.0,3.6,5.9
591,7.4,7.7,7.3,8.2,8.2,7.6,9.3,9.5,8.0,6.7,8.2,7.0,5.8,9.8,6.0,5.1,7.0,9.2,7.4,7.1,5.5,5.3,6.4,5.0,5.1,7.1,1.2,6.4,6.2,5.0
592,5.5,3.9,2.9,6.1,5.0,5.7,5.4,6.5,2.3,3.2,6.4,3.1,5.2,6.2,6.0,5.0,6.5,7.5,5.2,0.3,4.2,,,,5.5,,,6.5,5.0,
594,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
595,4.0,,1.1,4.3,0.9,0.9,2.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,
596,1.3,5.3,2.9,4.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
598,4.0,5.5,1.7,4.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
601,5.8,5.7,7.3,5.9,6.0,5.0,6.2,5.0,5.5,6.2,6.7,5.2,5.3,6.3,3.6,5.5,7.5,7.2,7.1,5.7,7.2,5.0,8.0,5.5,6.6,6.0,7.1,6.9,6.1,8.2
604,7.8,9.0,7.5,9.2,7.3,9.0,9.0,9.0,9.5,8.0,8.0,7.8,9.0,8.9,7.2,8.2,10.0,8.5,9.1,7.7,9.6,8.0,6.9,9.5,9.4,9.2,6.1,9.3,9.0,8.4
605,,,,2.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
608,5.6,5.0,3.4,7.1,6.4,5.4,6.5,7.5,6.0,6.3,6.5,6.3,5.9,7.9,5.3,6.4,6.5,8.0,8.1,3.0,5.0,5.3,4.1,7.5,5.0,6.3,3.4,6.6,5.4,6.5
609,,,3.3,5.0,2.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,
610,1.0,4.0,1.2,4.5,2.0,,,5.5,1.8,,,,,,,,,,,,,,,,,,,,,
611,6.6,6.5,6.5,6.6,7.2,7.2,5.3,6.6,6.5,6.5,5.0,5.0,7.2,7.3,6.5,5.0,7.2,5.8,7.0,7.1,5.0,5.2,6.7,6.5,6.4,7.0,5.4,7.0,5.5,7.1
613,5.3,5.3,3.8,6.4,5.6,5.0,4.4,6.5,3.5,5.2,,,5.5,6.5,,,5.0,6.7,,,,,,,,,,,,
614,,2.9,3.9,5.4,3.2,1.1,4.1,6.0,1.5,,,,,,,,,,,,,,,,,,,,,
617,5.3,7.4,5.1,7.5,3.3,4.1,4.1,6.5,5.0,7.5,6.4,3.8,5.0,6.5,6.3,3.0,5.0,7.8,6.5,5.4,3.9,6.0,4.0,6.0,5.3,5.2,,6.6,5.3,
620,4.5,5.2,4.4,6.8,2.9,5.4,5.0,5.0,5.5,5.6,7.9,3.4,6.2,4.8,5.1,5.4,7.0,6.7,5.6,3.5,3.4,6.8,6.1,5.0,5.5,5.4,2.1,6.5,5.4,5.8
621,8.3,7.0,5.4,7.6,10.0,5.9,6.3,7.5,7.0,5.4,5.6,5.0,7.0,5.9,5.7,5.9,6.7,7.0,6.1,3.2,5.0,3.9,6.8,7.7,7.7,5.0,10.0,6.3,5.0,5.6
622,7.8,5.3,7.9,9.0,5.7,7.9,8.4,10.0,7.5,6.4,7.3,5.1,5.4,9.4,6.3,5.5,9.0,7.2,7.9,5.8,7.1,5.0,5.0,5.4,5.5,5.1,5.3,6.3,5.5,5.6
626,3.0,,2.4,5.1,1.5,0.8,1.6,2.0,2.6,,,,,,,,,,,,,,,,,,,,,
628,5.3,5.3,2.4,5.4,5.5,1.7,1.2,1.5,1.1,5.3,2.0,1.5,0.8,5.0,2.0,1.9,,,,,,,,,,,,,,
629,7.5,8.1,6.4,8.9,8.3,7.1,7.5,8.0,7.5,6.6,8.8,7.5,8.2,8.6,8.3,7.5,9.8,7.7,8.0,8.5,10.0,10.0,10.0,10.0,10.0,10.0,5.5,8.4,8.5,10.0
630,7.5,5.0,6.6,8.3,9.0,6.5,6.3,8.5,7.9,8.5,7.4,7.5,6.1,9.4,5.8,5.7,6.3,7.7,6.1,7.0,8.0,6.1,5.9,7.2,6.0,6.5,2.7,7.0,6.2,5.8
631,3.4,4.4,1.6,6.2,2.4,1.7,4.1,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
632,6.3,5.6,4.5,5.8,7.0,2.9,5.0,8.0,5.0,5.8,0.9,3.7,4.0,5.4,3.6,,,5.6,1.1,1.9,,,,,,,,,,
634,5.3,5.0,6.4,7.2,3.5,3.2,5.0,6.5,3.7,5.4,5.1,1.2,2.8,7.7,5.0,2.6,2.5,6.8,5.0,0.8,2.3,,3.9,2.8,3.3,2.8,,,3.4,
636,6.0,7.3,4.2,6.0,4.0,2.8,2.5,7.5,4.4,6.5,5.0,6.4,4.1,7.3,5.4,5.0,6.5,7.3,6.6,5.7,5.2,5.0,5.6,,7.0,,,,,
637,5.0,5.5,2.8,5.3,3.5,0.7,,6.0,1.1,,,,,,,,,,,,,,,,,,,,,
638,0.5,,1.6,3.0,3.0,0.3,,1.5,1.3,,,,,,,,,,,,,,,,,,,,,
639,3.4,,1.0,5.1,1.2,1.0,2.5,1.0,1.5,,,,,,,,,,,,,,,,,,,,,
640,5.5,2.9,3.0,6.0,8.0,2.2,7.0,7.0,5.1,7.0,5.0,2.2,2.9,6.2,3.6,5.0,3.5,5.4,4.1,5.0,4.3,,,,3.1,,,,,
642,4.2,5.0,1.8,5.5,3.1,5.5,5.3,5.0,3.5,5.1,,3.7,,,,1.7,,,,,,,,,,,,,,
643,6.8,8.0,,7.7,,5.2,6.5,7.0,,5.6,6.5,4.3,5.6,,5.1,2.8,3.0,7.0,6.2,3.3,,3.4,7.5,,4.2,,,,,3.4
649,5.8,5.2,2.8,5.9,9.0,5.0,6.3,9.0,5.4,6.3,3.9,4.5,3.1,7.4,5.9,6.4,7.0,6.3,5.1,7.5,7.6,6.5,6.8,8.2,5.4,7.1,5.0,5.1,5.3,6.7
650,5.6,5.3,4.1,4.6,5.9,1.9,6.1,5.5,3.6,5.0,5.3,2.2,5.0,5.6,,3.9,,5.5,,1.5,0.2,,,,2.5,,,,,
652,6.3,1.8,1.0,4.7,4.0,3.7,5.0,5.0,3.0,5.0,5.6,1.6,5.8,7.1,5.0,5.0,5.0,7.2,6.5,0.3,,,,,3.9,,,5.0,5.4,
653,5.3,2.6,5.3,6.8,7.0,5.5,6.2,6.0,5.0,5.5,3.1,,5.0,3.7,,,,3.8,4.1,,,,,,,,,,,
654,6.8,5.9,7.0,5.6,5.8,5.9,5.0,8.5,5.0,5.8,5.5,5.4,5.3,7.1,5.6,1.7,8.0,5.5,5.7,5.0,7.2,5.9,7.8,9.0,5.2,,,,7.0,
655,6.0,3.1,1.6,3.6,5.0,1.2,5.7,2.5,3.1,5.0,2.4,1.6,1.4,5.5,0.3,2.5,2.0,5.3,5.3,1.2,,,1.9,,,,,,,
656,5.5,5.0,4.4,8.0,6.0,2.5,5.2,3.5,,4.4,,,,,1.2,,,,,,,,,,,,,,,
657,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,5.0,8.2,3.6,6.4,8.0,5.0,2.9,6.5,5.8,6.7,7.8,,6.0,7.5,5.4,1.3,5.0,6.8,5.1,0.3,,,,,3.8,,,,,
660,5.8,6.6,5.0,7.1,8.0,5.0,7.0,9.0,5.4,6.1,6.0,1.2,6.2,6.5,5.0,0.3,5.0,6.5,6.1,5.2,5.4,3.5,4.2,5.2,5.1,3.0,,2.9,1.9,1.6
663,5.8,6.9,5.1,5.5,9.0,7.7,6.0,5.1,7.0,6.2,6.9,6.3,6.1,5.6,5.6,5.4,6.0,6.2,7.5,5.3,9.5,7.3,7.5,8.4,6.5,9.0,7.2,7.0,6.5,6.6
664,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
667,6.4,6.4,6.2,6.4,6.3,6.3,6.4,6.4,6.2,6.4,5.3,3.2,3.2,5.9,5.2,0.1,2.0,5.0,5.8,5.0,1.1,,4.5,5.7,,,,,,3.9
668,4.5,7.1,6.3,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.5,4.1,5.0,5.9,1.8,4.3,5.5,3.2,4.0,,,,,,2.3,,,,,
672,8.5,7.3,5.1,6.1,7.0,3.3,5.4,3.2,4.4,5.0,5.3,3.3,2.8,5.9,2.2,,6.5,,3.9,,,,,,,,,,,
673,,,0.6,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,
674,8.0,6.5,6.1,7.1,7.0,6.6,6.3,5.7,5.8,6.1,5.1,6.2,5.9,5.8,5.4,5.5,6.5,5.0,7.4,7.0,5.2,6.2,6.3,7.5,5.6,7.0,5.1,6.8,,6.9
675,2.8,,1.8,3.9,5.5,,4.4,6.0,2.1,,,,,,,,,,,,,,,,,,,,,
678,6.5,5.0,5.0,5.9,5.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,
679,5.5,5.0,5.4,5.5,5.4,,3.5,5.2,1.7,6.1,3.5,,,5.9,4.0,,,,,,,,,,,,,,,
