id_alumne,ADIP,ELPR,IACD,LIRM,MAVE,ALLI,ARIT,FISI,IACI,PRCI,CDDV,ESAL,GELI,GRAF,MNU1,CIDV,GEPR,HIMA,MMSD,TOPO,ANMA,EQAL,GDCS,MNU2,PROB,ANCO,EQDI,ESTA,MODE,TGGS
79,9.0,7.3,7.7,9.6,7.3,7.9,6.0,7.0,7.2,6.5,5.6,7.6,6.3,7.4,5.7,7.0,6.8,6.6,6.6,6.6,7.0,5.0,7.0,4.5,5.7,5.0,2.7,6.3,7.4,3.8
82,7.0,6.0,7.6,6.8,5.1,7.3,6.5,6.8,5.1,6.0,1.9,1.3,4.6,8.3,2.7,2.4,3.0,7.1,5.2,5.2,2.7,,2.3,,,3.2,1.2,,,1.8
83,7.6,6.4,7.6,7.2,5.7,6.2,8.0,5.7,7.0,5.4,5.1,5.0,7.0,7.5,5.1,6.3,6.0,6.7,7.7,6.0,5.0,5.8,7.7,5.0,7.1,5.8,6.8,5.2,5.2,6.1
86,7.8,5.9,7.2,6.4,6.2,5.8,5.5,5.0,7.0,6.2,5.1,5.4,4.5,7.8,3.0,5.0,4.3,7.4,5.7,5.4,0.8,5.2,6.4,3.5,5.3,4.4,2.6,4.5,5.2,2.1
87,7.1,2.1,5.8,7.5,8.5,,0.0,1.5,5.5,,,,,,,,,,,,,,,,,,,,,
93,7.7,5.7,7.1,7.1,5.8,5.8,5.3,5.8,6.7,5.7,5.0,2.9,4.5,8.2,2.0,3.4,6.0,7.0,5.9,2.8,5.0,1.5,2.5,5.0,5.0,4.0,1.5,4.0,5.6,6.2
95,7.9,5.0,7.0,6.3,5.1,8.0,6.0,6.2,7.0,5.7,5.3,7.0,5.9,8.2,2.8,5.4,,6.5,6.4,5.9,,,,,5.0,,,,,
99,,,1.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3.5,,3.8,2.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,1.0,4.6,3.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,2.0,3.4,2.9,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
115,9.2,9.0,9.2,8.8,7.9,8.6,6.5,8.0,9.1,8.0,6.1,5.0,7.8,8.1,7.0,6.5,8.0,6.3,5.1,6.5,,7.1,,,,3.8,,,,
119,9.0,8.3,9.0,6.2,8.3,9.7,10.0,7.5,9.3,7.1,6.8,6.8,9.6,9.0,6.6,7.1,10.0,7.0,7.9,8.0,9.1,9.0,8.7,8.5,8.9,7.9,5.5,7.0,7.3,9.4
121,8.0,5.6,7.1,6.8,5.7,6.4,5.2,6.0,7.0,5.9,4.4,5.0,5.9,7.9,4.0,5.0,5.0,6.5,5.7,6.5,3.9,4.4,5.3,6.0,8.0,5.0,3.6,8.0,5.1,5.5
124,5.6,5.0,5.8,5.4,5.8,4.6,5.0,5.0,7.0,5.0,1.5,6.1,1.9,6.6,,1.1,5.0,6.1,5.3,,,,,,,,,,,
127,6.3,6.3,4.6,5.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
131,5.7,5.4,5.9,5.2,8.9,7.8,9.5,6.0,7.1,5.8,7.1,8.0,8.3,9.0,5.0,6.0,7.0,5.8,6.7,9.0,8.7,7.5,9.0,,7.6,9.0,6.0,6.6,5.5,9.8
135,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
136,7.0,6.3,7.8,6.4,6.7,,6.5,9.0,6.0,5.2,5.0,5.2,5.8,9.0,6.8,8.4,6.0,8.0,6.5,6.1,2.9,5.2,6.1,6.0,5.5,5.4,,6.2,5.2,3.0
137,8.5,7.0,6.7,5.4,4.5,6.7,8.0,5.0,7.0,5.4,6.4,1.7,5.0,7.1,4.4,4.5,9.0,7.7,8.0,5.1,7.3,5.1,5.3,6.1,5.7,5.8,5.6,7.0,5.8,7.0
138,10.0,9.0,8.4,8.0,8.7,9.2,7.6,10.0,9.2,9.1,8.2,7.0,9.1,9.6,7.7,8.6,10.0,9.3,9.4,10.0,9.5,8.3,9.0,9.7,9.1,9.4,8.0,9.6,7.3,9.6
139,7.6,,6.0,5.3,5.5,8.0,5.0,5.0,6.1,3.8,5.7,5.0,5.5,7.7,6.0,5.4,5.0,7.1,7.2,6.8,5.1,5.0,5.6,7.5,5.7,8.8,5.0,5.8,5.8,5.5
141,4.3,,3.8,,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,
142,9.5,7.5,8.2,8.2,6.0,7.8,5.4,7.0,7.9,8.1,7.3,6.8,7.9,9.5,6.6,7.4,10.0,9.5,8.7,9.0,7.9,7.1,7.6,7.3,6.6,8.8,7.0,8.4,7.2,9.0
143,7.2,7.6,7.4,7.1,6.7,2.0,5.0,9.0,5.0,7.3,5.8,5.3,5.1,7.8,3.2,7.0,,7.9,7.0,6.7,5.1,5.0,,5.0,5.3,6.2,,,,
144,6.0,5.0,9.0,6.6,6.4,6.3,6.0,6.0,5.9,4.4,4.6,3.0,5.0,7.4,5.3,1.4,4.0,7.7,2.3,4.4,5.8,3.8,1.7,6.3,5.4,7.1,2.0,5.4,5.2,6.3
151,6.6,7.0,7.8,6.1,7.6,5.9,5.5,5.0,5.9,6.4,3.4,5.0,3.3,7.2,3.7,4.0,3.0,7.0,5.6,4.2,9.0,1.1,5.5,6.5,5.1,1.8,,2.8,5.4,
152,8.6,6.8,6.8,7.7,5.9,6.3,7.5,,7.0,7.5,7.3,5.0,6.0,7.2,5.6,5.5,8.0,8.5,7.0,9.0,7.1,6.6,6.9,6.2,7.1,6.5,6.0,6.5,6.4,6.8
153,7.2,6.2,5.8,6.8,4.0,5.6,6.5,7.0,6.5,5.7,2.6,6.3,2.0,7.1,5.0,5.9,,8.1,8.3,,,,,,,,,,,
154,6.7,3.6,6.4,5.0,,,3.3,5.6,5.2,1.3,,,,,,,,,,,,,,,,,,,,
155,6.6,6.1,5.9,6.4,4.2,5.5,4.0,5.0,5.0,5.6,4.1,3.0,5.8,6.5,4.2,2.2,7.5,5.2,5.5,5.0,5.9,5.2,5.3,6.7,4.4,6.6,6.1,5.2,7.0,7.5
156,5.3,3.9,5.7,5.0,5.7,6.9,6.0,5.3,6.5,3.5,5.1,2.8,5.2,7.8,5.0,5.7,4.0,6.7,6.7,3.9,4.2,5.1,6.2,5.2,5.2,5.6,5.6,7.0,5.0,6.2
157,7.3,8.0,7.3,9.2,,,,8.3,,,,,,,,,,,,,,,,,,,,,,
163,9.0,9.5,6.2,7.5,8.0,1.0,8.5,9.0,9.0,10.0,8.6,7.7,8.4,9.6,6.5,8.5,10.0,7.0,8.4,7.7,8.6,7.9,9.0,7.7,,,,,,
166,3.2,,2.1,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
168,5.0,1.8,5.0,3.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,5.9,5.3,6.5,6.7,5.7,5.7,5.7,5.0,5.5,4.3,5.7,1.1,3.7,7.8,5.7,2.3,6.5,5.0,4.2,5.4,5.4,,5.0,5.0,5.3,3.6,,5.0,3.4,
170,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,3.4,5.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
178,4.0,,3.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
179,6.4,4.4,5.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
181,3.3,,5.0,3.6,3.6,2.0,,2.6,2.8,,,,,,,,,,,,,,,,,,,,,
183,8.0,,8.4,8.0,,,,5.0,6.5,,,,,,,,,,,,,,,,,,,,,
184,5.0,4.1,5.0,3.4,1.9,,,,3.7,,,,,,,,,,,,,,,,,,,,,
185,9.0,8.0,7.5,8.2,8.6,9.1,7.5,7.3,9.0,7.2,6.2,5.3,5.9,9.0,5.6,6.1,7.0,7.0,8.0,7.5,7.6,5.0,5.3,5.2,6.4,5.0,5.4,7.3,7.0,7.9
187,7.3,5.2,5.4,5.5,5.0,5.8,5.0,3.8,6.1,5.6,5.2,0.5,3.1,7.5,1.0,1.5,6.0,5.6,6.7,3.6,5.8,3.7,6.2,6.0,3.7,8.1,5.0,7.0,5.4,5.9
188,4.1,,3.4,3.2,1.8,2.6,,,0.8,,,,,,,,,,,,,,,,,,,,,
189,6.6,5.7,5.5,5.4,5.0,,,3.3,5.9,4.2,4.2,,,,,,,,,,,,,,,,,,,
190,5.0,,5.7,4.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
191,5.0,4.3,5.0,5.0,4.2,5.3,5.0,3.4,5.8,3.6,4.1,3.3,1.6,6.2,5.4,5.8,7.2,5.8,6.1,5.0,2.8,2.7,5.1,4.5,2.1,2.5,2.8,5.0,5.7,5.0
193,6.6,5.2,5.0,5.0,3.5,3.1,,2.4,3.9,3.0,1.5,,1.0,6.5,,,,,,,,,,,,,,,,
194,5.2,,3.3,4.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
196,6.4,5.6,4.1,6.0,1.8,2.9,5.0,,5.6,3.2,,,,,,,,,,,,,,,,,,,,
198,7.4,9.0,5.7,6.2,,,,,3.1,0.3,,,,,,,,,,,,,,,,,,,,
199,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
200,5.5,5.3,5.6,5.5,4.4,4.0,3.9,2.3,5.0,5.7,1.9,2.0,1.2,6.4,5.7,1.4,5.4,6.2,4.1,2.0,,,0.8,3.5,5.0,1.9,,2.6,1.6,
202,6.7,,5.2,5.3,1.6,,,,5.5,6.1,,,,,,,,,,,,,,,,,,,,
204,5.6,5.0,6.0,5.8,8.0,,,6.0,5.3,5.8,6.3,2.1,7.4,8.2,6.0,7.0,3.0,6.4,7.3,9.0,6.6,6.4,5.8,8.5,6.8,5.0,,6.7,5.8,7.3
206,5.0,5.0,4.3,0.2,0.5,5.0,1.0,5.5,5.3,5.4,,,,5.0,,,,2.4,,,,,,,,,,,,
207,6.3,3.1,5.0,5.1,3.0,5.7,2.7,6.0,7.0,,3.4,,,,,0.7,,6.0,3.0,,,,,,,,,,,
210,5.6,6.3,5.0,2.4,1.5,7.6,6.0,5.0,6.5,8.0,5.0,1.4,,3.1,4.2,2.7,,2.4,5.3,1.3,,,,,,,,,,
213,5.8,7.8,5.2,5.9,6.5,5.7,7.7,1.5,,2.7,,,,,,,,,,,,,,,,,,,,
214,8.1,8.0,8.2,8.8,7.3,8.0,6.5,6.1,8.9,7.0,7.6,7.0,7.0,8.7,5.2,5.7,5.0,7.2,5.0,7.1,6.5,2.1,6.5,6.2,6.3,5.4,3.1,2.7,3.9,4.0
216,4.3,2.2,3.3,4.5,3.2,1.0,0.8,,5.0,,,,,,,,,,,,,,,,,,,,,
217,,,5.9,8.9,4.0,,,8.5,,,,,,,,,,,,,,,,,,,,,,
220,5.7,6.1,6.6,7.1,3.6,3.9,3.3,5.2,6.3,5.0,5.0,5.4,4.0,7.0,6.3,2.9,7.5,6.1,3.0,6.2,2.9,5.4,6.2,6.4,6.1,6.4,5.4,8.2,6.3,7.2
221,6.6,5.0,7.4,9.8,5.6,5.0,5.3,6.0,8.1,5.3,7.2,5.4,7.0,9.0,5.7,6.2,9.0,7.0,7.6,5.2,6.0,5.0,5.6,7.0,6.9,7.1,6.3,6.5,6.1,6.4
222,7.0,7.4,7.8,8.7,5.9,6.1,5.5,8.1,9.2,7.0,5.1,6.7,7.2,8.4,6.0,5.0,7.0,8.0,5.7,6.3,6.0,6.5,6.7,6.5,5.5,5.6,5.4,2.0,5.0,6.3
225,5.5,4.0,5.9,6.9,3.8,2.7,4.1,7.2,7.1,4.3,5.5,5.0,5.8,6.2,5.2,5.5,4.5,6.2,7.7,4.0,3.4,1.8,5.9,4.5,4.8,6.3,2.3,2.7,5.0,5.3
226,6.7,9.3,7.4,7.3,5.2,5.0,6.1,9.0,5.7,,5.0,5.0,4.3,2.1,,,,,,,,,,,,,,,,
