id_alumne,P1,DDB,IO,ALGE,CAL,MD,FIS,ALGO,P2,ED,ELEC,AA,DS,EC,ICC,EMP,PIE,PAE,PIS,SO1,IA,SO2,TNUI,VA,XAR,BD,FHIC,GiVD,LIL,SWD
311,6.0,7.7,5.6,5.0,8.1,5.8,6.3,7.1,6.0,6.0,5.9,7.0,,5.5,1.0,6.4,4.5,7.4,,5.8,5.5,5.1,6.0,5.2,6.6,6.1,4.3,4.3,5.2,7.8
312,5.7,6.0,5.0,1.6,5.0,4.0,5.5,7.1,5.0,4.0,4.9,7.0,4.1,6.0,5.5,7.8,6.0,6.5,6.0,5.0,5.0,6.6,6.8,6.3,6.4,5.5,5.0,4.1,5.9,3.7
319,5.2,6.5,5.2,5.0,5.8,5.7,5.2,6.2,5.5,5.8,4.9,6.5,3.4,5.1,5.9,5.7,5.7,8.0,8.5,5.0,7.0,6.5,7.1,5.0,6.5,4.1,5.5,5.6,4.0,5.8
321,5.0,5.2,6.0,5.0,6.8,5.5,5.7,6.0,2.4,6.3,6.6,5.0,2.6,6.4,5.7,6.3,7.4,6.1,8.0,2.7,6.6,2.9,6.5,5.7,7.1,5.4,5.7,5.0,5.9,7.0
325,6.0,8.2,5.0,5.0,8.6,5.0,6.5,5.1,7.3,7.0,6.5,5.0,5.0,5.4,6.7,7.3,7.6,8.4,6.5,5.0,6.4,7.5,7.4,6.8,7.1,7.7,7.7,7.0,6.1,6.7
334,6.5,5.5,7.1,3.2,8.1,5.3,6.0,5.6,6.0,5.5,6.6,,4.2,3.5,,9.1,6.8,7.7,9.5,2.3,5.5,4.0,,,7.7,6.1,5.1,1.6,5.7,
340,,,,5.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
342,5.5,6.0,5.1,6.2,7.0,5.6,6.0,6.2,5.6,4.0,5.0,6.5,5.7,3.5,6.0,6.3,6.5,5.9,9.0,5.4,5.0,8.0,4.8,6.5,5.5,5.6,6.5,4.0,6.8,5.6
348,5.7,3.5,5.5,2.0,7.1,3.0,5.2,5.1,7.4,6.0,2.0,5.6,5.0,5.0,6.1,6.6,6.7,7.5,9.5,5.0,5.0,6.3,7.8,5.0,1.5,6.2,5.8,5.0,5.3,3.6
352,5.7,9.0,7.5,7.0,6.6,8.0,7.5,8.5,5.8,7.3,8.4,9.0,6.7,5.6,7.9,8.3,8.7,8.1,9.0,6.4,6.7,8.4,8.2,7.3,5.7,6.2,6.0,6.5,7.4,0.0
356,5.0,4.0,5.0,5.0,6.7,5.5,5.2,5.4,5.5,5.4,7.0,5.0,4.1,5.8,6.1,7.0,8.7,7.7,8.5,2.2,7.8,6.7,8.0,7.0,7.2,5.9,7.0,6.0,6.1,5.8
358,,,,5.5,6.8,5.5,5.0,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,
365,5.0,7.0,7.7,6.0,7.7,7.9,5.6,8.0,8.3,7.4,6.2,6.0,5.7,7.0,9.0,7.1,9.0,7.3,,7.8,8.3,9.0,7.2,7.5,,,,,,
366,7.0,6.0,7.1,6.0,8.4,9.0,7.0,6.5,6.9,6.0,6.0,7.5,9.0,6.6,9.6,6.8,9.2,8.0,6.5,5.9,8.0,8.1,7.6,7.3,8.0,7.5,6.7,7.0,10.0,7.5
367,4.0,7.3,6.0,5.8,5.0,4.2,7.8,5.1,4.3,4.0,4.6,7.0,5.6,6.8,5.1,7.4,7.7,5.0,9.5,5.7,5.8,5.5,6.8,5.5,6.3,6.8,6.0,6.0,5.6,5.1
368,6.0,7.4,6.0,5.0,6.8,8.0,5.0,5.9,6.8,5.9,5.8,6.5,5.8,6.6,7.6,9.0,6.0,7.7,6.3,6.0,4.2,6.0,6.7,7.0,6.0,6.0,5.0,5.7,5.6,5.7
369,6.0,,5.2,1.3,4.3,1.5,,6.2,5.4,6.3,,,,,,4.7,2.6,3.8,,,,,,,,,,,,
370,9.0,5.9,5.9,5.9,5.9,8.5,5.9,8.3,8.4,7.8,7.1,7.9,7.0,7.5,7.8,8.3,7.0,7.8,8.5,7.4,7.7,8.5,7.7,8.2,6.0,6.7,9.2,6.3,7.3,6.8
374,1.7,,,3.2,4.3,,5.6,0.9,,4.0,,,,,,,,,,,,,,,,,,,,
375,3.8,6.9,7.8,8.5,10.0,8.0,8.8,5.7,7.1,6.6,,,,,,,,,,,,,,,,,,,,
376,5.0,8.4,6.5,5.4,5.8,9.6,5.8,8.1,7.7,6.4,7.5,8.0,7.2,6.2,6.8,8.1,5.1,9.0,8.5,7.3,7.1,2.5,7.9,7.8,5.6,7.2,7.0,7.5,6.7,7.1
377,5.0,7.8,7.8,8.2,8.2,7.8,7.8,6.3,8.0,6.2,7.9,8.0,6.1,6.1,7.3,6.7,9.1,7.5,10.0,6.5,6.0,7.8,6.6,7.0,6.4,5.4,7.5,6.0,8.8,5.8
379,,6.1,7.2,5.3,8.8,7.3,5.6,8.3,,,6.0,8.0,,7.6,5.4,5.6,8.1,7.7,0.0,5.4,6.0,9.1,7.7,5.6,5.8,,5.7,6.7,7.2,7.3
382,0.0,10.0,8.3,8.2,8.5,7.8,8.3,8.1,0.0,0.0,6.3,9.5,0.0,8.8,9.4,4.6,8.4,9.0,0.0,5.9,7.5,8.2,7.4,7.6,6.2,0.0,5.3,5.0,7.6,5.0
383,6.0,,,,,,,0.7,6.0,6.0,,,,,,,,,,,,,,,6.0,6.0,,,,
385,5.0,6.4,8.0,9.0,9.6,7.6,8.0,5.7,8.1,6.0,7.9,9.0,9.1,8.0,8.6,7.3,8.9,8.0,10.0,7.4,9.5,9.0,8.4,7.7,7.8,7.4,6.0,7.3,8.5,7.6
386,0.0,1.5,5.2,1.1,5.5,2.7,7.0,6.1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
387,6.2,7.7,2.8,5.0,6.9,4.0,5.2,6.0,3.8,3.6,2.8,,,,,,,,,,,,,,,,,,,
388,2.5,4.0,7.0,7.1,6.9,6.4,6.7,6.0,5.5,4.0,4.3,6.0,6.8,4.3,7.7,6.7,6.0,8.3,10.0,5.5,8.4,6.3,5.8,7.7,7.8,5.8,7.2,5.6,,6.4
390,,,,6.0,,,5.0,3.9,,,,,6.4,,,,,,,,,,,,,,,,,
392,0.0,,,,,,,2.9,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,,
394,2.2,7.0,5.3,5.3,5.1,2.5,6.2,5.7,6.6,6.0,7.4,6.5,5.8,5.0,5.1,5.1,7.0,5.0,9.6,7.0,5.6,5.5,7.0,7.1,6.4,5.9,5.0,7.8,5.5,5.3
398,6.0,6.9,7.3,6.1,6.5,6.2,6.2,7.4,6.0,6.0,6.6,5.5,,6.4,6.2,5.0,6.6,8.0,,5.0,5.9,8.8,8.0,6.5,7.1,,6.3,7.0,6.9,6.8
400,0.0,7.8,8.3,3.2,8.6,5.2,5.7,7.3,0.0,0.0,4.8,7.0,6.4,6.3,5.1,6.4,6.1,8.0,10.0,5.4,6.6,8.6,7.8,6.9,0.0,0.0,6.7,6.5,6.3,7.6
